POLYGON_ID,POLYGON_NAME,POLYGON_LEVEL,POLYGON_VERSION,COUNTRY,DATE_TIME,N_BASELINE,N_CRISIS,N_DIFFERENCE,DENSITY_BASELINE,DENSITY_CRISIS,PERCENT_CHANGE,CLIPPED_Z_SCORE,LAT,LON,DS
PAK.5.5_1,Kohat,GADM2,3.6,PK,2022-08-14 16:00:00.000,18166.38461538461700,16633.0,-1533.3846153846170000,0.0064499454165268125,0.005977356982579308000,-8.4403156967685200000,-1.52392919933138900000,33.324038652215350,71.24562877885840,2022-08-14
PAK.7.5_1,Lahore,GADM2,3.6,PK,2022-08-14 16:00:00.000,528040.88777601110000,529946.0,1905.1122239888646000,0.1874800614408066000,0.190445284884865900000,0.3607880867203076500,0.05788769177327066000,31.212249025737595,73.94344561103003,2022-08-14
PAK.5.6_1,Malakand,GADM2,3.6,PK,2022-08-14 16:00:00.000,56565.57396449704000,55670.0,-895.5739644970381000,0.0200835153636755480,0.020005979872553967000,-1.5832211529358813000,-0.31169082215816430000,35.692411371900940,72.24693033592979,2022-08-14
PAK.8.2_1,Karachi,GADM2,3.6,PK,2022-08-14 16:00:00.000,497525.54303266085000,501751.0,4225.4569673391525000,0.1766456377440615600,0.180312922705834820000,0.8492927717148482000,0.17655782766222644000,25.078783448780808,67.18591128987336,2022-08-14
PAK.2.1_1,Kalat,GADM2,3.6,PK,2022-08-14 16:00:00.000,7307.81613836560600,7114.0,-193.8161383656061000,0.0025946282765891980,0.002556539263756941200,-2.6518130254805830000,-0.23037205811833586000,27.493773199641932,65.73513763364258,2022-08-14
PAK.7.4_1,Gujranwala,GADM2,3.6,PK,2022-08-14 16:00:00.000,258057.79175465633000,249932.0,-8125.7917546563260000,0.0916230007437688800,0.089817398266699450000,-3.1488141517696255000,-0.73100558033206500000,32.333162895855320,74.07475121428519,2022-08-14
PAK.5.3_1,F.A.T.A.,GADM2,3.6,PK,2022-08-14 16:00:00.000,1566.41848293218230,1449.0,-117.4184829321823100,0.0005561543437649718,0.000520723277085157100,-7.4912018845488290000,-1.32183148610674950000,32.932342294260580,70.79861448797378,2022-08-14
PAK.7.1_1,Bahawalpur,GADM2,3.6,PK,2022-08-14 16:00:00.000,98589.97804208749000,96034.0,-2555.9780420874886000,0.0350042119250032200,0.034511483224013790000,-2.5925070354777975000,-0.38070954042462110000,28.848917939976854,71.63772667830045,2022-08-14
PAK.3.1_1,F.A.T.A.,GADM2,3.6,PK,2022-08-14 16:00:00.000,21064.01183431952800,20954.0,-110.0118343195281300,0.0074787432645997250,0.007530183262969208000,-0.5222490981006462000,-0.08907067995436009000,33.170013305044215,70.38616127056210,2022-08-14
PAK.7.6_1,Multan,GADM2,3.6,PK,2022-08-14 16:00:00.000,167628.46153846153000,163574.0,-4054.4615384615317000,0.0595162136038783900,0.058783153434042440000,-2.4187046246230772000,-0.52178766986480410000,30.125238653918725,72.23541496058307,2022-08-14
